name,name_kana,partisan,district,number_e,born
逢沢　　一郎君,"あいさわ
　いちろう",自民,岡山1,12,昭和29年
青柳　　仁士君,"あおやぎ
　ひとし",維新,大阪14,1,昭和53年
青柳　陽一郎君,"あおやぎ
　よういちろう",立民,（比）南関東,4,昭和44年
青山　　周平君,"あおやま
　しゅうへい",自民,（比）東海,4,昭和52年
青山　　大人君,"あおやま
　やまと",立民,（比）北関東,2,昭和54年
赤木　　正幸君,"あかぎ
　まさゆき",維新,（比）近畿,1,昭和50年
赤澤　　亮正君,"あかざわ
　りょうせい",自民,鳥取2,6,昭和35年
赤羽　　一嘉君,"あかば
　かずよし",公明,兵庫2,9,昭和33年
あかま　二郎君,"あかま
　じろう",自民,神奈川14,5,昭和43年
赤嶺　　政賢君,"あかみね
　せいけん",共産,沖縄1,8,1947年
秋葉　　賢也君,"あきば
　けんや",自民,（比）東北,7,昭和37年
秋本　　真利君,"あきもと
　まさとし",自民,（比）南関東,4,昭和50年
浅川　　義治君,"あさかわ
　よしはる",維新,（比）南関東,1,昭和43年
浅野　　　哲君,"あさの
　さとし",国民,茨城5,2,昭和57年
東　　　国幹君,"あずま
　くによし",自民,北海道6,1,昭和43年
安住　　　淳君,"あずみ
　じゅん",立民,宮城5,9,昭和37年
畦元　　将吾君,"あぜもと
　しょうご",自民,（比）中国,2,昭和33年
麻生　　太郎君,"あそう
　たろう",自民,福岡8,14,昭和15年
足立　　康史君,"あだち
　やすし",維新,大阪9,4,昭和40年
安倍　　晋三君,"あべ
　しんぞう",自民,山口4,10,昭和29年
阿部　　　司君,"あべ
　つかさ",維新,（比）東京,1,昭和57年
あべ　　俊子君,"あべ
　としこ",自民,（比）中国,6,昭和34年
阿部　　知子君,"あべ
　ともこ",立民,神奈川12,8,昭和23年
阿部　　弘樹君,"あべ
　ひろき",維新,（比）九州,1,昭和36年
甘利　　　明君,"あまり
　あきら",自民,（比）南関東,13,昭和24年
荒井　　　優君,"あらい
　ゆたか",立民,（比）北海道,1,昭和50年
新垣　　邦男君,"あらかき
　くにお",立民,沖縄2,1,昭和31年
五十嵐　　清君,"いがらし
　きよし",自民,（比）北関東,1,昭和44年
池下　　　卓君,"いけした
　たく",維新,大阪10,1,昭和50年
池田　　佳隆君,"いけだ
　よしたか",自民,（比）東海,4,昭和41年
池畑　浩太朗君,"いけはた
　こうたろう",維新,（比）近畿,1,昭和49年
伊佐　　進一君,"いさ
　しんいち",公明,大阪6,4,昭和49年
井坂　　信彦君,"いさか
　のぶひこ",立民,兵庫1,3,昭和49年
石井　　啓一君,"いしい
　けいいち",公明,（比）北関東,10,昭和33年
石井　　　拓君,"いしい
　たく",自民,（比）東海,1,昭和40年
石川　　昭政君,"いしかわ
　あきまさ",自民,（比）北関東,4,昭和47年
石川　　香織君,"いしかわ
　かおり",立民,北海道11,2,昭和59年
石田　　真敏君,"いしだ
　まさとし",自民,和歌山2,8,昭和27年
石破　　　茂君,"いしば
　しげる",自民,鳥取1,12,昭和32年
石橋　林太郎君,"いしばし
　りんたろう",自民,（比）中国,1,昭和53年
石原　　宏高君,"いしはら
　ひろたか",自民,（比）東京,5,昭和39年
石原　　正敬君,"いしはら
　まさたか",自民,（比）東海,1,昭和46年
泉　　　健太君,"いずみ
　けんた",立民,京都3,8,昭和49年
泉田　　裕彦君,"いずみだ
　ひろひこ",自民,（比）北陸信越,2,昭和37年
一谷　勇一郎君,"いちたに
　ゆういちろう",維新,（比）近畿,1,昭和50年
