year,1935,1947,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2014,2015,2016,2017,2018,2019,2020
total,69254148,78101473,83199637,89275529,93418501,98274961,103119447,111251507,116320358,120265700,122721397,124298947,125612633,126204902,126381728,125431000,125319299,125020252,124648471,124218285,123731176,123398962
0,2035909,2497635,2315990,1709339,1576913,1742531,1865005,1901354,1575479,1440749,1209432,1182029,1162866,1050771,1037633,1007000,948227,986473,947473,926202,877243,820767
1,1846556,1555304,2522681,1710091,1594841,1658677,1850084,2015702,1625202,1487509,1255866,1191561,1157204,1085168,1036647,1029000,960519,946868,985201,946121,925157,854691
2,1845254,1647839,2479988,1817775,1549114,1613816,1805949,2050225,1694611,1502212,1296804,1176303,1182975,1109516,1065299,1030000,997448,959840,946328,984571,945513,898601
3,1818641,2008319,2346977,1939180,1513111,1567441,1810654,2007135,1737550,1504975,1338803,1199265,1180526,1143356,1061005,1057000,1003781,997521,959789,946174,984617,922359
4,1782141,1952549,1539821,2071356,1610454,1551018,1414397,1960329,1825238,1520961,1368885,1200465,1176402,1158584,1053877,1034000,1033014,1003606,997388,959446,946004,961834
0~4,9328501,9661646,11205457,9247741,7844433,8133483,8746089,9934745,8458080,7456400,6469790,5949623,5859973,5547395,5254461,5157000,4942989,4894308,4836179,4762514,4678534,4458252
5~9,8531419,9099015,9522665,11042592,9204635,7849292,8100003,8877006,9966787,8492500,7436656,6493110,5984829,5899562,5550007,5261000,5267749,5248101,5191428,5120025,5030788,5037460
10~14,7685247,8812693,8699917,9507817,11017538,9183407,7799284,8223394,8900365,9972000,8495909,7424703,6507152,5990607,5884275,5669000,5573821,5466331,5382237,5338375,5293741,5314777
15~19,6640917,8263857,8567668,8625519,9308538,10851888,8998395,7891996,8215420,8917600,9967712,8491929,7433115,6523659,6028600,5924000,5977783,5951383,5897510,5803056,5706558,5618948
20~24,6071071,7061904,7725542,8403243,8318450,9068689,10594925,9007448,7783812,8177400,8721441,9765295,8300297,7192988,6304880,5989000,5883485,5897936,5920430,5963102,5960242,5915893
25~29,5240083,5491634,6185120,7604328,8209360,8363829,9037118,10730221,8976957,7753200,7976511,8614403,9626221,8097834,7154666,6462000,6292857,6128801,5999128,5893367,5862140,5951370
30~34,4632637,5147599,5202237,6116932,7517805,8257330,8327691,9193706,10708629,9034200,7713009,7968686,8608881,9592355,8213960,7279000,7184240,7034994,6881849,6690447,6474878,6363470
35~39,4045846,4881783,5048073,5115126,6038030,7498539,8170903,8378792,9151151,10676700,8945897,7709028,7978061,8592843,9688045,8513000,8238135,7929129,7683340,7483085,7328763,7228540
40~44,3406011,4191998,4482980,4945330,5019130,5961402,7305820,8189237,8296039,9047700,10617643,8916937,7706162,7968660,8650602,9644000,9686096,9550570,9279951,8925616,8540311,8260105
45~49,3112834,3858845,4004549,4367173,4816559,4921811,5839717,7329028,8057805,8193300,8989654,10544944,8845461,7650199,7966133,8477000,8619451,9127760,9298682,9506041,9640216,9679218
50~54,2832875,3131979,3388668,3849490,4201390,4657998,4776975,5747161,7170337,7869200,8068623,8867530,10391001,8743818,7608317,7688000,7908558,7782611,8030037,8228969,8429352,8569317
55~59,2571137,2644459,2749029,3205514,3641207,4002009,4401704,4648187,5582330,6965100,7713773,7912482,8698453,10223859,8656055,7580000,7520250,7461698,7503301,7554378,7606165,7809254
60~64,1930611,2109345,2303895,2496593,2931617,3344459,3709919,4263359,4442551,5359200,6735670,7445934,7711606,8526772,10054575,8920000,8489534,8095072,7737170,7521408,7450572,7352566
65~69,1387092,1719508,1770715,1967019,2160402,2562311,2973692,3435492,3947606,4165300,5090871,6373007,7091585,7422967,8230222,9107000,9710272,10223211,9868230,9314416,8653715,8170011
70~74,913423,1160146,1281608,1392662,1563804,1744561,2127751,2567573,3012121,3532300,3809840,4674557,5889998,6634850,6987391,7893000,7751648,7372572,7711771,8195221,8644616,9139735
75~79,561804,550245,685653,875701,954678,1095914,1265890,1636768,2030820,2434500,3014473,3276736,4139567,5261100,5972225,6244000,6329432,6500029,6711640,6904067,7211769,7031238
80~84,263979,238477,275783,377787,482925,528116,648477,807299,1091136,1446900,1831720,2293864,2609499,3409137,4363274,4855000,5012035,5165400,5277140,5330212,5310386,5382047
85~89,82255,62053,79053,111355,155813,199158,229325,308519,409300,586400,832886,1134102,1530334,1848497,2446197,3054000,3148873,3267096,3387870,3505515,3602984,3731031
90~94,16406,14287,16355,22767,32187,50765,65769,81576,119112,185600,289319,442077,700438,841086,1026309,1302000,1359587,1475000,1579000,1671000,1758000,1806431
95~99,-,-,-,-,-,-,-,-,-,-,-,-,-,211356,297633,351000,360757,382000,404000,439000,478000,499145
100~,-,-,-,-,-,-,-,-,-,-,-,-,-,25358,43901,60000,61747,65000,67000,69000,69000,80154
65~,3224959,3744716,4109167,4747291,5349809,6180825,7310904,8837227,10610095,12350900,14869109,18194343,21961421,25654351,29367152,32866000,33734351,34451558,35007229,35427902,35728916,35839792
75~,924444,865062,1056844,1387610,1625603,1873953,2209461,2834162,3650368,4653400,5968398,7146779,8979838,11596534,14149539,15866000,16272431,16855775,17427228,17918265,18430585,18530046
80~,362640,314817,371191,511909,670925,778039,943571,1197394,1619548,2218900,2953925,3870043,4840271,6335434,8177314,9622000,9942999,10355746,10715588,11014198,11218816,11498808
85~,98661,76340,95408,134122,188000,249923,295094,390095,528412,772000,1122205,1576179,2230772,2926297,3814040,4767000,4930964,5190346,5438448,5683986,5908430,6116761
