pid,pid_pre2017,pid_pre2020,name_jp,name_kana,name_en,legis,yr,year,totcruns,totcwins,kuname,ken,kunr,region,prcode,kucode,kucoder,party_jp,party_en,party_id,jiban,prewruns,prewwins,run1946,win1946,result,inc,ku_vote,ku_totvote,ku_electorate,ku_voteshare,ku_rank,ku_m,ku_ncand,pr_partyvote,pr_totvote,pr_electorate,pr_voteshare,pr_m,pr_partyseats,pr_rank,pr_ncand,pr_rerank,byelection,bycause,poptotal,popmale,popfemale,popunder15,popover65,popdid,popdensity,work1st,work2nd,work3rd,depurgee,female,byear,age,dyear,death,bplace,bplace_id,borninku,borninken,background_jp,background_eng,hc,assy,gov,mayor,sec,locbur,bcrat,bcrat_id,news,union,agri,celeb,celeb_id,qual,educ,busi,law,med,relig,police,pubcorp,mili,juku,kobo,faction_jp,faction_eng,faction_id,fleader,bequeath_nobye,inherit_nobye,jibangap_nobye,bequeath,inherit,jibangap,cruns,cwins,jruns,jwins,dynasty,family,pre_local,pre_cand,pre_mp,seshu,junior,cablegacy,pre_fam,post_local,post_cand,post_mp,post_fam,familynotes,predrelation,kulegacy,kenlegacy,samename,namechange,generation,predeath,familyhisho,exp,limit,totexp,cabappt,cabexp,junappt,junexp,pm,speaker,vicespeaker,mtentry,mtexit,ID,party,incumbency,elected,ku_valid,sekihairitsu,dual,pr_coranked,background,birthplace
12374,12279,12372,城島光力,じょうじまこうりき,Joujima Kouriki,41,19,1996,1,1,Tokyo bloc,NA,0,Tokyo,40000,0,0,新進党,NFP,15,NA,0,0,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,1275432,5186128,9466735,0.24590001,19,5,1,15,1,0,.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1947,49,NA,0,福岡県柳川市,40,0,0,会社員，労組役員,"business employee, labor union",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,無派閥,No faction,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,NA,hisho: wife 城島貴子,0,0,0,0,0,1,0,2,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13761,13618,13758,山中あき子,やまなかあきこ,Yamanaka Akiko,41,19,1996,1,1,Tokai bloc,NA,0,Tokai,70000,0,0,新進党,NFP,15,NA,0,0,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,2107536,6378813,11210945,0.33039999,23,8,1,16,1,0,.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1945,51,NA,0,北海道小樽市,1,0,0,北海学園大学人文学部教授,educator (university),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,無派閥,No faction,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,NA,Za Senkyo claims some family in politics,0,0,0,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10396,10374,10396,中川智子,なかがわともこ,Nakagawa Tomoko,41,19,1996,1,1,Kinki bloc,NA,0,Kinki,80000,0,0,社会民主党,SDP,2,NA,0,0,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,542047,8804276,16000601,0.0615663343584413,33,2,2,3,2,0,.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1947,49,NA,0,和歌山県東牟婁郡那智勝浦町,30,1,1,団体役員,interests (generic),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,無派閥,No faction,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,0,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11121,11079,11121,佐々木憲昭,ささきけんしょう,Sasaki Kenshou,41,19,1996,2,1,Tokai bloc,NA,0,Tokai,70000,0,0,共産党,JCP,5,NA,0,0,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,756037,6378813,11210945,0.1185,23,3,1,4,1,0,.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1945,51,NA,0,北海道岩内郡,1,0,0,政党役員（共産党）,party position,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,無派閥,No faction,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,NA,Za Senkyo claims some family in politics,0,0,0,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15556,15358,15551,松崎公昭,まつざききみあき,Matsuzaki Kimiaki,41,19,1996,1,1,Minami Kanto bloc,NA,0,Minami Kanto,50000,0,0,新進党,NFP,15,NA,0,0,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,1667552,6280536,11697331,0.265511096505139,23,7,7,14,7,0,.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1943,53,NA,0,千葉県柏市,12,1,1,柏市議，千葉県議，会社役員，団体役員,"loc pol, bus (exec), groups",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,無派閥,No faction,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,NA,Za Senkyo claims some family in politics,0,0,0,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19605,19271,19597,鈴木淑夫,すずきよしお,Suzuki Yoshio,41,19,1996,1,1,Tokai bloc,NA,0,Tokai,70000,0,0,新進党,NFP,15,NA,0,0,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,2107536,6378813,11210945,0.33039999,23,8,2,16,2,0,.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1931,65,NA,0,東京都千代田区,13,0,0,会社員，会社役員,business (executive),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,無派閥,No faction,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,NA,hisho: son 鈴木盛夫,0,0,0,0,0,1,0,1,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12767,12660,12765,大石秀政,おおいしひでまさ,Ooishi Hidemasa,41,19,1996,1,1,Tokai bloc,NA,0,Tokai,70000,0,0,自民党,LDP,1,NA,0,0,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,2042948,6378813,11210945,0.32030001,23,8,4,38,4,0,.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1963,34,NA,0,静岡県榛原郡吉田町,22,1,1,議員秘書,MP sec,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,渡辺,Watanabe,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,大石1,0,1,1,0,1,1,"大石千八 (father), 大石八治 (grandfather)",0,0,0,NA,NA,1,1,1,1,0,3,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18646,18353,18638,葉山峻,はやましゅん,Hayama Shun,41,19,1996,1,1,Minami Kanto bloc,NA,0,Minami Kanto,50000,0,0,民主党,DPJ,16,NA,0,0,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,1331850,6280536,11697331,0.2120599260954797,23,5,1,27,1,0,.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1933,63,NA,0,神奈川県,14,1,1,藤沢市議，藤沢市長,"municipal assembly, mayor",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,無派閥,No faction,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,NA,hisho: 葉山淳子 wife,0,0,0,0,0,1,0,2,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17958,17685,17950,福岡宗也,ふくおかそうや,Fukuoka Souya,41,19,1996,1,1,Tokai bloc,NA,0,Tokai,70000,0,0,新進党,NFP,15,NA,0,0,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,2107536,6378813,11210945,0.33039999,23,8,8,16,8,0,.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1932,64,NA,1,愛知県,23,1,1,弁護士・全トヨタ労連顧問・名古屋弁護士会綱紀委員会委員長,"lawyer, labor",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,無派閥,No faction,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,0,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17097,16852,17090,漆原良夫,うるしばらよしお,Urushibara Yoshio,41,19,1996,1,1,Hokuriku Shinetsu bloc,NA,0,Hokuriku Shinetsu,60000,0,0,新進党,NFP,15,NA,0,0,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,1180904,3897686,6084456,0.303,13,4,3,10,3,0,.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1944,51,NA,0,新潟県燕市,15,1,1,弁護士,lawyer,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,無派閥,No faction,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,NA,Za Senkyo claims some family in politics,0,0,0,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
