IndicatorId,IndicatorName,IndicatorShortName,Source,SourceYear,Author,LocationId,Location,Iso2,Iso3,TimeId,Time,VariantId,Variant,SexId,Sex,AgeId,AgeStart,AgeEnd,Age,CategoryId,Category,EstimateTypeId,EstimateType,EstimateMethodId,EstimateMethod,Value
67,"Median age of population","Median age of the total population","World Population Prospects",2022,"United Nations Population Division",124,"Canada","CA","CAN",65,"2014",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",39.4635875153497
67,"Median age of population","Median age of the total population","World Population Prospects",2022,"United Nations Population Division",124,"Canada","CA","CAN",66,"2015",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",39.6232938641458
67,"Median age of population","Median age of the total population","World Population Prospects",2022,"United Nations Population Division",124,"Canada","CA","CAN",67,"2016",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",39.7345594957674
67,"Median age of population","Median age of the total population","World Population Prospects",2022,"United Nations Population Division",124,"Canada","CA","CAN",68,"2017",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",39.78513298971
67,"Median age of population","Median age of the total population","World Population Prospects",2022,"United Nations Population Division",124,"Canada","CA","CAN",69,"2018",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",39.7899585789429
67,"Median age of population","Median age of the total population","World Population Prospects",2022,"United Nations Population Division",124,"Canada","CA","CAN",70,"2019",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",39.8056822411457
67,"Median age of population","Median age of the total population","World Population Prospects",2022,"United Nations Population Division",124,"Canada","CA","CAN",71,"2020",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",39.9362125478558
67,"Median age of population","Median age of the total population","World Population Prospects",2022,"United Nations Population Division",124,"Canada","CA","CAN",72,"2021",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",40.1619538065078
67,"Median age of population","Median age of the total population","World Population Prospects",2022,"United Nations Population Division",124,"Canada","CA","CAN",73,"2022",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",40.3812489953965
67,"Median age of population","Median age of the total population","World Population Prospects",2022,"United Nations Population Division",124,"Canada","CA","CAN",74,"2023",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",3,"Projection",40.5865028651669
